"#","WST_ID","CO2Y","WST_LONG","WID","WST_ELEV","WST_LAT","WNDHT","WST_NOTES","CLIM_ID","REFHT"
"","KEMB","380","37.460","d98571a0d06c2e75fe446645cb52928351ee2cefc33c0ac05d79beb9b519af51","-3709","-0.550","2.0","Embu Met, Kenya","KAXA","2.0"
"%","W_DATE","TMAX","SRAD","TMIN","RAIN"
"","20700101","27.7","19.1","17.2","0.0"
"","20700102","27.6","20.6","16.9","0.0"
"","20700103","28.5","24.6","15.8","0.0"
"","20700104","29.4","26.2","16.1","0.0"
"","20700105","28.6","20.2","18.2","0.0"
"","20700106","29.4","21.7","17.6","0.0"
"","20700107","29.8","24.5","17.4","0.0"
"","20700108","30.1","26.2","17.1","0.0"
"","20700109","29.5","25.1","17.6","0.0"
"","20700110","29.9","27.0","16.7","0.0"
"","20700111","31.0","26.7","17.0","0.0"
"","20700112","30.2","22.5","18.0","0.0"
"","20700113","29.1","22.0","17.5","0.0"
"","20700114","29.3","23.6","16.3","0.0"
"","20700115","30.5","26.4","16.9","0.0"
"","20700116","29.4","25.0","17.7","0.0"
"","20700117","29.9","22.1","17.0","0.0"
"","20700118","30.3","26.0","16.9","0.0"
"","20700119","30.3","27.1","16.9","0.0"
"","20700120","30.5","27.4","16.7","0.0"
"","20700121","30.2","27.6","16.1","0.0"
"","20700122","30.6","26.6","16.8","0.0"
"","20700123","31.3","27.4","16.7","0.0"
"","20700124","32.7","24.7","18.1","0.0"
"","20700125","30.8","18.8","19.0","0.0"
"","20700126","29.6","15.1","20.4","0.0"
"","20700127","25.9","9.8","19.3","17.6"
"","20700128","27.2","18.5","18.3","0.0"
"","20700129","30.2","23.3","17.7","0.0"
"","20700130","30.8","24.2","18.1","15.3"
"","20700131","30.0","24.3","18.5","20.0"
"","20700201","29.7","21.1","18.1","3.3"
"","20700202","29.7","21.6","17.5","2.0"
"","20700203","29.6","21.6","16.8","0.0"
"","20700204","29.1","20.5","18.6","0.0"
"","20700205","29.6","20.3","17.6","0.0"
"","20700206","29.6","21.4","17.7","0.0"
"","20700207","30.0","22.6","16.8","0.0"
"","20700208","30.7","24.4","16.8","0.0"
"","20700209","30.6","25.9","19.0","0.0"
"","20700210","29.6","21.6","19.4","0.0"
"","20700211","28.7","19.4","19.4","0.0"
"","20700212","30.5","23.1","20.0","0.0"
"","20700213","30.8","23.7","19.3","0.0"
"","20700214","28.7","21.0","19.0","0.0"
